${0},,
"${0} ${1} already exists.","${0} ${1} ekziston tashmë."
"Export Successful","Eksportimi ishte i suksesshëm"
"Filter","Filtër"
"General Ledger","Libri Kryesor"
"Help","Ndihmë"
"Hide Month/Year","Fshih Muaj/Vit"
"Import Data","Importo të Dhëna"
"Import Wizard","Asistenti i Importit"
"Invalid barcode value ${barcode}.","Vlerë barkodi e pavlefshme ${barcode}."
"Invoice","Faturë"
"Is","Është"
"Is Empty","Është bosh"
"Is Not","Nuk është"
"Is Not Empty","Nuk është bosh"
"Items","Artikujt"
"Language","Gjuha"
"Linked Entries","Regjistrime të lidhura"
"List","Listë"
"Loading...","Duke u ngarkuar..."
"Login","Hyrje"
"Logout","Dalje"
"Make Entry","Krijo Regjistrim"
"Mandatory Error","Gabim i detyrueshëm"
"Name","Emri"
"New Account","Llogari e Re"
"New Entry","Regjistrim i Ri"
"No","Jo"
"No entries found","Asnjë regjistrim nuk u gjet"
"No results found","Nuk u gjetën rezultate"
"Not Found","Nuk u gjet"
"Ok","Në rregull"
"Open Folder","Hap Dosjen"
"Outflow","Dalje"
"Paid","Paguar"
"Party","Palë"
"Payment","Pagesë"
"Payments","Pagesa"
"Please Wait","Ju lutem prisni"
"Profit and Loss","Fitim dhe Humbje"
"Purchase Invoices","Fatura Blerjeje"
"Purchase Items","Artikuj Blerjeje"
"Purchase Payments","Pagesa Blerjeje"
"Purchases","Blerje"
"Quantity","Sasi"
"Report","Raport"
"Report Issue","Raporto Problem"
"Reports","Raporte"
"Return","Kthim"
"Save","Ruaj"
"Save as PDF","Ruaj si PDF"
"Search","Kërko"
"Select","Zgjidh"
"Select File","Zgjidh Skedarin"
"Serial Number","Numër Serial"
"Settings","Cilësimet"
"Setup","Konfigurim"
"Setup Wizard","Asistenti i Konfigurimit"
"Shipments","Dërgesa"
"Show Month/Year","Shfaq Muaj/Vit"
"Stock Balance","Bilanci i Stokut"
"Stock Ledger","Libri i Stokut"
"Stock Movement","Lëvizje Stoku"
"Submit","Dërgo"
"Suppliers","Furnitorët"
"Taxes","Taksa"
"Trial Balance","Bilanci Provë"
"Unpaid","E papaguar"
"Update","Përditëso"
"Upload","Ngarko"
"Value","Vlerë"
"View","Shiko"
"Yes","Po"
